time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
333.5104,0.029979246,21.996208,333.5104,0.029979246,17.52472,333.5104,27.790121,333.5104,24.530863,333.5104,28.88889,333.5104,84.0,333.5104,0.0,333.5104,273.0,333.5104,973.6765,333.5104,21.647488,333.5104,0.0,333.5104,0.0,333.5104,0.0,333.5104,0.00054987986,333.5104,0.0005159037,333.5104,23.027779,333.5104,23.344444,333.5104,23.015554,333.5104,20241128,333.5104,121500,333.5104,2024.0,333.5104,11.0,333.5104,28.0,333.5104,12.0,333.5104,15.0,333.5104,0.0,333.5104,-1.0,333.5104,-999.0,333.5104,-999.0,333.5104,-999.0,333.5104,4.139222,333.5104,2500.0,333.5104,0.029979246,77693.47,333.5104,0.029979246,67413.41,333.5104,,333.5104,,333.5104,,333.5104,,333.5104,,333.5104,,333.5104,,333.5104,,333.5104,0.11991698,0.18651631,333.5104,0.11991698,0.008401584,,,,,,,,,,,,,333.5104,0.0,0.0,1.349066,333.5104,0.0,1.6788378,333.5104,0.11991698,0.027062133,333.5104,0.11991698,27.619074,333.5104,0.11991698,0.0009020712,333.5104,0.11991698,0.043099243,333.5104,0.11991698,5.0,333.5104,0.0,WaterCloud,333.5104,30.0,333.5104,
333.5104,0.05995849,8.163023,333.5104,0.05995849,0.8916257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.05995849,28836.36,333.5104,0.05995849,3434.79,,,,,,,,,,,,,,,,,333.5104,0.14989623,0.18133335,333.5104,0.14989623,0.00899254,,,,,,,,,,,,,333.5104,0.0,1.0,1.5889001,333.5104,1.0,,333.5104,0.14989623,0.025345886,333.5104,0.14989623,27.61152,333.5104,0.14989623,0.00084486284,333.5104,0.14989623,0.047236327,333.5104,0.14989623,5.0,333.5104,1.0,MixedCloud,,,,
333.5104,0.08993774,7.439878,333.5104,0.08993774,0.6210917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.08993774,26283.855,333.5104,0.08993774,2390.1418,,,,,,,,,,,,,,,,,333.5104,0.17987548,0.17757386,333.5104,0.17987548,0.009343295,,,,,,,,,,,,,333.5104,0.0,2.0,1.7687756,333.5104,2.0,,333.5104,0.17987548,0.024174754,333.5104,0.17987548,27.606367,333.5104,0.17987548,0.00080582517,333.5104,0.17987548,0.04997267,333.5104,0.17987548,5.0,333.5104,2.0,Ice/dust/ash,,,,
333.5104,0.11991698,6.8612523,333.5104,0.11991698,0.4917001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.11991698,24231.006,333.5104,0.11991698,1890.0505,,,,,,,,,,,,,,,,,333.5104,0.20985472,0.17336613,333.5104,0.20985472,0.009600898,,,,,,,,,,,,,333.5104,1.0,0.0,,333.5104,3.0,,333.5104,0.20985472,0.022811372,333.5104,0.20985472,27.600368,333.5104,0.20985472,0.0007603791,333.5104,0.20985472,0.05245409,333.5104,0.20985472,6.0,333.5104,3.0,Rain/Dust,,,,
333.5104,0.14989623,6.369106,333.5104,0.14989623,0.42973375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.14989623,22494.195,333.5104,0.14989623,1650.299,,,,,,,,,,,,,,,,,333.5104,0.23983397,0.16941924,333.5104,0.23983397,0.009316463,,,,,,,,,,,,,333.5104,1.0,1.0,,333.5104,4.0,,333.5104,0.23983397,0.021522755,333.5104,0.23983397,27.5947,333.5104,0.23983397,0.00071742525,333.5104,0.23983397,0.052118585,333.5104,0.23983397,6.0,333.5104,4.0,Molecular,,,,
333.5104,0.17987548,5.9622784,333.5104,0.17987548,0.38760972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.17987548,21062.357,333.5104,0.17987548,1487.4142,,,,,,,,,,,,,,,,,333.5104,0.2698132,0.16928872,333.5104,0.2698132,0.009034037,,,,,,,,,,,,,333.5104,1.0,2.0,,333.5104,5.0,,333.5104,0.2698132,0.021723794,333.5104,0.2698132,27.595587,333.5104,0.2698132,0.00072412647,333.5104,0.2698132,0.05065392,333.5104,0.2698132,6.0,333.5104,5.0,CleanAerosol,,,,
333.5104,0.20985472,5.5495014,333.5104,0.20985472,0.35772723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.20985472,19608.514,333.5104,0.20985472,1371.7123,,,,,,,,,,,,,,,,,333.5104,0.29979247,0.16782257,333.5104,0.29979247,0.008922691,,,,,,,,,,,,,333.5104,2.0,0.0,,333.5104,6.0,,333.5104,0.29979247,0.021397082,333.5104,0.29979247,27.594147,333.5104,0.29979247,0.00071323605,333.5104,0.29979247,0.050484885,333.5104,0.29979247,6.0,333.5104,6.0,PollutedAerosol,,,,
333.5104,0.23983397,5.1549306,333.5104,0.23983397,0.31811693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.23983397,18205.541,333.5104,0.23983397,1221.0317,,,,,,,,,,,,,,,,,333.5104,0.3297717,0.17081437,333.5104,0.3297717,0.00891358,,,,,,,,,,,,,333.5104,2.0,1.0,,333.5104,7.0,,333.5104,0.3297717,0.022820685,333.5104,0.3297717,27.60041,333.5104,0.3297717,0.00076068955,333.5104,0.3297717,0.0495926,333.5104,0.3297717,5.0,333.5104,7.0,Undetected,,,,
333.5104,0.2698132,4.802454,333.5104,0.2698132,0.281422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.2698132,16964.518,333.5104,0.2698132,1079.8774,,,,,,,,,,,,,,,,,333.5104,0.35975096,0.17606516,333.5104,0.35975096,0.009256908,,,,,,,,,,,,,333.5104,2.0,2.0,,333.5104,8.0,,333.5104,0.35975096,0.025157284,333.5104,0.35975096,27.610691,333.5104,0.35975096,0.0008385761,333.5104,0.35975096,0.04994864,333.5104,0.35975096,5.0,,,,,,,
333.5104,0.29979247,4.4192176,333.5104,0.29979247,0.25372604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.5104,0.29979247,15608.359,333.5104,0.29979247,974.3266,,,,,,,,,,,,,,,,,333.5104,0.3897302,0.18135883,333.5104,0.3897302,0.009756678,,,,,,,,,,,,,333.5104,3.0,0.0,,333.5104,9.0,,333.5104,0.3897302,0.02751518,333.5104,0.3897302,27.621069,333.5104,0.3897302,0.0009171727,333.5104,0.3897302,0.051050156,333.5104,0.3897302,6.0,,,,,,,
