time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
333.4618,0.029979246,21.84452,333.4618,0.029979246,17.611423,333.4618,27.746918,333.4618,25.08642,333.4618,24.0,333.4618,80.0,333.4618,0.0,333.4618,274.1111,333.4618,972.70953,333.4618,21.39183,333.4618,0.0,333.4618,0.0,333.4618,0.0,333.4618,0.00080650084,333.4618,0.00078630314,333.4618,22.262222,333.4618,22.584444,333.4618,22.614447,333.4618,20241128,333.4618,110500,333.4618,2024.0,333.4618,11.0,333.4618,28.0,333.4618,11.0,333.4618,5.0,333.4618,0.0,333.4618,-1.0,333.4618,-999.0,333.4618,-999.0,333.4618,-999.0,333.4618,4.0595555,333.4618,2500.0,333.4618,0.029979246,67281.57,333.4618,0.029979246,56444.08,333.4618,,333.4618,,333.4618,,333.4618,,333.4618,,333.4618,,333.4618,,333.4618,,333.4618,0.11991698,0.16826944,333.4618,0.11991698,0.006528001,,,,,,,,,,,,,333.4618,0.0,0.0,1.0192944,333.4618,0.0,1.5589207,333.4618,0.11991698,0.031815965,333.4618,0.11991698,27.639992,333.4618,0.11991698,0.0010605319,333.4618,0.11991698,0.037326783,333.4618,0.11991698,5.0,333.4618,0.0,WaterCloud,333.4618,30.0,333.4618,
333.4618,0.05995849,7.604849,333.4618,0.05995849,0.8078982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.05995849,23418.023,333.4618,0.05995849,2583.096,,,,,,,,,,,,,,,,,333.4618,0.14989623,0.16154823,333.4618,0.14989623,0.0069085383,,,,,,,,,,,,,333.4618,0.0,1.0,1.4090246,333.4618,1.0,,333.4618,0.14989623,0.029051078,333.4618,0.14989623,27.627825,333.4618,0.14989623,0.00096836936,333.4618,0.14989623,0.040998135,333.4618,0.14989623,5.0,333.4618,1.0,MixedCloud,,,,
333.4618,0.08993774,6.731325,333.4618,0.08993774,0.5492934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.08993774,20722.84,333.4618,0.08993774,1756.2473,,,,,,,,,,,,,,,,,333.4618,0.17987548,0.15665904,333.4618,0.17987548,0.006800397,,,,,,,,,,,,,333.4618,0.0,2.0,1.8886925,333.4618,2.0,,333.4618,0.17987548,0.02711188,333.4618,0.17987548,27.619291,333.4618,0.17987548,0.00090372935,333.4618,0.17987548,0.041598707,333.4618,0.17987548,5.0,333.4618,2.0,Ice/dust/ash,,,,
333.4618,0.11991698,6.092057,333.4618,0.11991698,0.41710544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.11991698,18752.299,333.4618,0.11991698,1331.8724,,,,,,,,,,,,,,,,,333.4618,0.20985472,0.1523609,333.4618,0.20985472,0.0067740884,,,,,,,,,,,,,333.4618,1.0,0.0,,333.4618,3.0,,333.4618,0.20985472,0.0254206,333.4618,0.20985472,27.611849,333.4618,0.20985472,0.0008473533,333.4618,0.20985472,0.042559423,333.4618,0.20985472,5.0,333.4618,3.0,Rain/Dust,,,,
333.4618,0.14989623,5.5796824,333.4618,0.14989623,0.35150975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.14989623,17174.666,333.4618,0.14989623,1122.7366,,,,,,,,,,,,,,,,,333.4618,0.23983397,0.14894055,333.4618,0.23983397,0.006818392,,,,,,,,,,,,,333.4618,1.0,1.0,,333.4618,4.0,,333.4618,0.23983397,0.024150297,333.4618,0.23983397,27.606262,333.4618,0.23983397,0.0008050099,333.4618,0.23983397,0.04378155,333.4618,0.23983397,5.0,333.4618,4.0,Molecular,,,,
333.4618,0.17987548,5.1692553,333.4618,0.17987548,0.2979771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.17987548,15908.436,333.4618,0.17987548,952.12964,,,,,,,,,,,,,,,,,333.4618,0.2698132,0.15375322,333.4618,0.2698132,0.0075201336,,,,,,,,,,,,,333.4618,1.0,2.0,,333.4618,5.0,,333.4618,0.2698132,0.026675504,333.4618,0.2698132,27.617373,333.4618,0.2698132,0.00088918343,333.4618,0.2698132,0.04659563,333.4618,0.2698132,5.0,333.4618,5.0,CleanAerosol,,,,
333.4618,0.20985472,4.7904954,333.4618,0.20985472,0.26336458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.20985472,14745.971,333.4618,0.20985472,841.0428,,,,,,,,,,,,,,,,,333.4618,0.29979247,0.15867564,333.4618,0.29979247,0.008142272,,,,,,,,,,,,,333.4618,2.0,0.0,,333.4618,6.0,,333.4618,0.29979247,0.029218316,333.4618,0.29979247,27.62856,333.4618,0.29979247,0.0009739439,333.4618,0.29979247,0.048800576,333.4618,0.29979247,5.0,333.4618,6.0,PollutedAerosol,,,,
333.4618,0.23983397,4.4497104,333.4618,0.23983397,0.23836082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.23983397,13707.272,333.4618,0.23983397,761.7008,,,,,,,,,,,,,,,,,333.4618,0.3297717,0.16262276,333.4618,0.3297717,0.0083332155,,,,,,,,,,,,,333.4618,2.0,1.0,,333.4618,7.0,,333.4618,0.3297717,0.031312317,333.4618,0.3297717,27.637775,333.4618,0.3297717,0.0010437439,333.4618,0.3297717,0.048738834,333.4618,0.3297717,5.0,333.4618,7.0,Undetected,,,,
333.4618,0.2698132,4.2807083,333.4618,0.2698132,0.23444891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.2698132,13196.006,333.4618,0.2698132,750.1809,,,,,,,,,,,,,,,,,333.4618,0.35975096,0.16789539,333.4618,0.35975096,0.00873333,,,,,,,,,,,,,333.4618,2.0,2.0,,333.4618,8.0,,333.4618,0.35975096,0.03409961,333.4618,0.35975096,27.65004,333.4618,0.35975096,0.0011366536,333.4618,0.35975096,0.049451213,333.4618,0.35975096,5.0,,,,,,,
333.4618,0.29979247,4.099331,333.4618,0.29979247,0.22907928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.29979247,12621.985,333.4618,0.29979247,732.1971,,,,,,,,,,,,,,,,,333.4618,0.3897302,0.1716612,333.4618,0.3897302,0.0090952255,,,,,,,,,,,,,333.4618,3.0,0.0,,333.4618,9.0,,333.4618,0.3897302,0.0362042,333.4618,0.3897302,27.659296,333.4618,0.3897302,0.0012068067,333.4618,0.3897302,0.05031173,333.4618,0.3897302,6.0,,,,,,,
333.4618,0.3297717,3.8491597,333.4618,0.3297717,0.21189944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.4618,0.3297717,11838.542,333.4618,0.3297717,675.5149,,,,,,,,,,,,,,,,,333.4618,0.41970944,0.17617771,333.4618,0.41970944,0.009045811,,,,,,,,,,,,,333.4618,3.0,1.0,,,,,333.4618,0.41970944,0.03867787,333.4618,0.41970944,27.670185,333.4618,0.41970944,0.0012892626,333.4618,0.41970944,0.048827026,333.4618,0.41970944,5.0,,,,,,,
