LECROYMAUI,0,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,03-Apr-2024 20:00:21,0                 
Time,Ampl
1.599806e-06,0.0087544
1.600206e-06,0.0087544
1.600606e-06,0.00640152
1.601006e-06,0.00404864
1.601406e-06,0.00640152
1.601806e-06,0.0087544
1.602206e-06,0.00640152
1.602606e-06,0.00640152
1.603006e-06,0.0087544
1.603406e-06,0.0111073
1.603806e-06,0.015813
1.604206e-06,0.0181659
1.604606e-06,0.0134602
1.605006e-06,0.0111073
1.605406e-06,0.0087544
1.605806e-06,0.00640152
1.606206e-06,0.00404864
1.606606e-06,0.00404864
1.607006e-06,0.00640152
1.607406e-06,0.0087544
1.607806e-06,0.0111073
1.608206e-06,0.0134602
1.608606e-06,0.0134602
1.609006e-06,0.0134602
1.609406e-06,0.0111073
1.609806e-06,0.0111073
1.610206e-06,0.0111073
1.610606e-06,0.0111073
1.611006e-06,0.00640152
1.611406e-06,0.00169576
1.611806e-06,0.00169576
1.612206e-06,-0.00065712
1.612606e-06,0.00169576
1.613006e-06,0.00404864
1.613406e-06,0.0087544
1.613806e-06,0.0087544
1.614206e-06,0.00640152
1.614606e-06,0.0087544
1.615006e-06,0.0087544
1.615406e-06,0.0087544
1.615806e-06,0.0111073
1.616206e-06,0.0111073
1.616606e-06,0.0134602
1.617006e-06,0.015813
1.617406e-06,0.015813
1.617806e-06,0.0111073
1.618206e-06,0.0087544
1.618606e-06,0.0087544
1.619006e-06,0.0087544
1.619406e-06,0.0111073
1.619806e-06,0.0134602
1.620206e-06,0.0134602
1.620606e-06,0.0134602
1.621006e-06,0.0134602
1.621406e-06,0.0111073
1.621806e-06,0.0111073
1.622206e-06,0.0111073
1.622606e-06,0.0134602
1.623006e-06,0.0111073
1.623406e-06,0.00640152
1.623806e-06,0.00640152
1.624206e-06,0.0087544
1.624606e-06,0.0111073
1.625006e-06,0.00640152
1.625406e-06,0.00640152
1.625806e-06,0.0087544
1.626206e-06,0.0111073
1.626606e-06,0.0134602
1.627006e-06,0.00640152
1.627406e-06,0.00169576
1.627806e-06,0.00169576
1.628206e-06,0.00404864
1.628606e-06,0.0087544
1.629006e-06,0.0111073
1.629406e-06,0.015813
1.629806e-06,0.0134602
1.630206e-06,0.0111073
1.630606e-06,0.0134602
1.631006e-06,0.0134602
1.631406e-06,0.0111073
1.631806e-06,0.00640152
1.632206e-06,0.00640152
1.632606e-06,0.0087544
1.633006e-06,0.0111073
1.633406e-06,0.0134602
1.633806e-06,0.0111073
1.634206e-06,0.0087544
1.634606e-06,0.0087544
1.635006e-06,0.0087544
1.635406e-06,0.00640152
1.635806e-06,0.00640152
1.636206e-06,0.00640152
1.636606e-06,0.00640152
1.637006e-06,0.00640152
1.637406e-06,0.00640152
1.637806e-06,0.00640152
1.638206e-06,0.00640152
1.638606e-06,0.00640152
1.639006e-06,0.0111073
1.639406e-06,0.015813
1.639806e-06,0.0111073
1.640206e-06,0.0087544
1.640606e-06,0.00640152
1.641006e-06,0.00640152
1.641406e-06,0.00640152
1.641806e-06,0.00640152
1.642206e-06,0.0087544
1.642606e-06,0.0134602
1.643006e-06,0.0134602
1.643406e-06,0.0134602
1.643806e-06,0.0111073
1.644206e-06,0.0111073
1.644606e-06,0.0111073
1.645006e-06,0.0134602
1.645406e-06,0.0134602
1.645806e-06,0.0111073
1.646206e-06,0.0111073
1.646606e-06,0.0134602
1.647006e-06,0.0111073
1.647406e-06,0.0111073
1.647806e-06,0.0111073
1.648206e-06,0.0111073
1.648606e-06,0.0111073
1.649006e-06,0.0111073
1.649406e-06,0.0111073
1.649806e-06,0.0087544
1.650206e-06,0.0111073
1.650606e-06,0.0111073
1.651006e-06,0.0087544
1.651406e-06,0.00640152
1.651806e-06,0.0087544
1.652206e-06,0.0111073
1.652606e-06,0.0111073
1.653006e-06,0.0111073
1.653406e-06,0.0087544
1.653806e-06,0.0087544
1.654206e-06,0.0087544
1.654606e-06,0.0111073
1.655006e-06,0.0134602
1.655406e-06,0.0111073
1.655806e-06,0.00640152
1.656206e-06,0.00640152
1.656606e-06,0.0087544
1.657006e-06,0.0111073
1.657406e-06,0.0087544
1.657806e-06,0.0087544
1.658206e-06,0.0087544
1.658606e-06,0.00640152
1.659006e-06,0.00169576
1.659406e-06,0.00169576
1.659806e-06,0.0087544
1.660206e-06,0.0134602
1.660606e-06,0.0134602
1.661006e-06,0.0111073
1.661406e-06,0.0111073
1.661806e-06,0.0134602
1.662206e-06,0.0134602
1.662606e-06,0.0111073
1.663006e-06,0.0087544
1.663406e-06,0.0087544
1.663806e-06,0.0111073
1.664206e-06,0.0134602
1.664606e-06,0.0111073
1.665006e-06,0.0087544
1.665406e-06,0.00404864
1.665806e-06,0.00404864
1.666206e-06,0.00640152
1.666606e-06,0.00640152
1.667006e-06,0.0087544
1.667406e-06,0.0111073
1.667806e-06,0.0134602
1.668206e-06,0.0134602
1.668606e-06,0.0111073
1.669006e-06,0.0134602
1.669406e-06,0.015813
1.669806e-06,0.015813
1.670206e-06,0.0134602
1.670606e-06,0.0111073
1.671006e-06,0.0111073
1.671406e-06,0.0111073
1.671806e-06,0.0111073
1.672206e-06,0.0111073
1.672606e-06,0.0134602
1.673006e-06,0.0134602
1.673406e-06,0.0134602
1.673806e-06,0.0111073
1.674206e-06,0.0087544
1.674606e-06,0.0087544
1.675006e-06,0.0111073
1.675406e-06,0.0134602
1.675806e-06,0.0134602
1.676206e-06,0.0087544
1.676606e-06,0.00640152
1.677006e-06,0.00640152
1.677406e-06,0.0087544
1.677806e-06,0.0087544
1.678206e-06,0.00640152
1.678606e-06,0.00640152
1.679006e-06,0.00640152
1.679406e-06,0.0087544
1.679806e-06,0.0111073
1.680206e-06,0.015813
1.680606e-06,0.015813
1.681006e-06,0.015813
1.681406e-06,0.0134602
1.681806e-06,0.0134602
1.682206e-06,0.0134602
1.682606e-06,0.0134602
1.683006e-06,0.0111073
1.683406e-06,0.0134602
1.683806e-06,0.015813
1.684206e-06,0.0134602
1.684606e-06,0.0134602
1.685006e-06,0.0134602
1.685406e-06,0.0134602
1.685806e-06,0.015813
1.686206e-06,0.015813
1.686606e-06,0.015813
1.687006e-06,0.0134602
1.687406e-06,0.0111073
1.687806e-06,0.00640152
1.688206e-06,0.00169576
1.688606e-06,0.00169576
1.689006e-06,0.00404864
1.689406e-06,0.00404864
1.689806e-06,0.00640152
1.690206e-06,0.00640152
1.690606e-06,0.0087544
1.691006e-06,0.0087544
1.691406e-06,0.00640152
1.691806e-06,0.00640152
1.692206e-06,0.00640152
1.692606e-06,0.0087544
1.693006e-06,0.0111073
1.693406e-06,0.015813
1.693806e-06,0.015813
1.694206e-06,0.0134602
1.694606e-06,0.0111073
1.695006e-06,0.0087544
1.695406e-06,0.0087544
1.695806e-06,0.0111073
1.696206e-06,0.015813
1.696606e-06,0.015813
1.697006e-06,0.0134602
1.697406e-06,0.0111073
1.697806e-06,0.0111073
1.698206e-06,0.0134602
1.698606e-06,0.0111073
1.699006e-06,0.0134602
1.699406e-06,0.0134602
1.699806e-06,0.0134602
1.700206e-06,0.0087544
1.700606e-06,0.0111073
1.701006e-06,0.0134602
1.701406e-06,0.0134602
1.701806e-06,0.0134602
1.702206e-06,0.0087544
1.702606e-06,0.00404864
1.703006e-06,0.00404864
1.703406e-06,0.00640152
1.703806e-06,0.0087544
1.704206e-06,0.0087544
1.704606e-06,0.0087544
1.705006e-06,0.00640152
1.705406e-06,0.0087544
1.705806e-06,0.0134602
1.706206e-06,0.015813
1.706606e-06,0.015813
1.707006e-06,0.015813
1.707406e-06,0.0181659
1.707806e-06,0.0134602
1.708206e-06,0.0087544
1.708606e-06,0.00640152
1.709006e-06,0.0087544
1.709406e-06,0.0111073
1.709806e-06,0.0134602
1.710206e-06,0.0134602
1.710606e-06,0.0111073
1.711006e-06,0.0087544
1.711406e-06,0.00640152
1.711806e-06,0.00404864
1.712206e-06,0.00640152
1.712606e-06,0.0111073
1.713006e-06,0.0134602
1.713406e-06,0.0111073
1.713806e-06,0.0111073
1.714206e-06,0.0111073
1.714606e-06,0.0087544
1.715006e-06,0.00640152
1.715406e-06,0.00404864
1.715806e-06,0.00640152
1.716206e-06,0.00404864
1.716606e-06,0.00404864
1.717006e-06,0.00640152
1.717406e-06,0.0087544
1.717806e-06,0.0087544
1.718206e-06,0.0087544
1.718606e-06,0.00640152
1.719006e-06,0.0111073
1.719406e-06,0.0134602
1.719806e-06,0.0134602
1.720206e-06,0.0134602
1.720606e-06,0.0134602
1.721006e-06,0.0111073
1.721406e-06,0.0087544
1.721806e-06,0.0087544
1.722206e-06,0.0087544
1.722606e-06,0.0087544
1.723006e-06,0.0111073
1.723406e-06,0.0111073
1.723806e-06,0.00640152
1.724206e-06,0.00404864
1.724606e-06,0.00640152
1.725006e-06,0.0087544
1.725406e-06,0.0087544
1.725806e-06,0.0087544
1.726206e-06,0.0111073
1.726606e-06,0.0111073
1.727006e-06,0.0087544
1.727406e-06,0.0087544
1.727806e-06,0.00640152
1.728206e-06,0.00640152
1.728606e-06,0.00640152
1.729006e-06,0.0087544
1.729406e-06,0.0111073
1.729806e-06,0.0111073
1.730206e-06,0.0087544
1.730606e-06,0.0087544
1.731006e-06,0.00640152
1.731406e-06,0.00640152
1.731806e-06,0.0087544
1.732206e-06,0.0087544
1.732606e-06,0.0087544
1.733006e-06,0.0111073
1.733406e-06,0.015813
1.733806e-06,0.0134602
1.734206e-06,0.0087544
1.734606e-06,0.00640152
1.735006e-06,0.00640152
1.735406e-06,0.0087544
1.735806e-06,0.0087544
1.736206e-06,0.0111073
1.736606e-06,0.0087544
1.737006e-06,0.0087544
1.737406e-06,0.0087544
1.737806e-06,0.0111073
1.738206e-06,0.0111073
1.738606e-06,0.0111073
1.739006e-06,0.0087544
1.739406e-06,0.00640152
1.739806e-06,0.00640152
1.740206e-06,0.00640152
1.740606e-06,0.0087544
1.741006e-06,0.0087544
1.741406e-06,0.0087544
1.741806e-06,0.0087544
1.742206e-06,0.0087544
1.742606e-06,0.00640152
1.743006e-06,0.0087544
1.743406e-06,0.0111073
1.743806e-06,0.0111073
1.744206e-06,0.0111073
1.744606e-06,0.0111073
1.745006e-06,0.0134602
1.745406e-06,0.0134602
1.745806e-06,0.0134602
1.746206e-06,0.0134602
1.746606e-06,0.0134602
1.747006e-06,0.015813
1.747406e-06,0.0134602
1.747806e-06,0.0134602
1.748206e-06,0.0111073
1.748606e-06,0.0111073
1.749006e-06,0.015813
1.749406e-06,0.0181659
1.749806e-06,0.0181659
1.750206e-06,0.0134602
1.750606e-06,0.0087544
1.751006e-06,0.00640152
1.751406e-06,0.0087544
1.751806e-06,0.0111073
1.752206e-06,0.0111073
1.752606e-06,0.0111073
1.753006e-06,0.0111073
1.753406e-06,0.0111073
1.753806e-06,0.0111073
1.754206e-06,0.0134602
1.754606e-06,0.0111073
1.755006e-06,0.0111073
1.755406e-06,0.0134602
1.755806e-06,0.0111073
1.756206e-06,0.0111073
1.756606e-06,0.0111073
1.757006e-06,0.0134602
1.757406e-06,0.0134602
1.757806e-06,0.0134602
1.758206e-06,0.0087544
1.758606e-06,0.0087544
1.759006e-06,0.0111073
1.759406e-06,0.0087544
1.759806e-06,0.00640152
1.760206e-06,0.00404864
1.760606e-06,0.00640152
1.761006e-06,0.00640152
1.761406e-06,0.0087544
1.761806e-06,0.0087544
1.762206e-06,0.0087544
1.762606e-06,0.0087544
1.763006e-06,0.0087544
1.763406e-06,0.00404864
1.763806e-06,0.00404864
1.764206e-06,0.00640152
1.764606e-06,0.00640152
1.765006e-06,0.0087544
1.765406e-06,0.0111073
1.765806e-06,0.0111073
1.766206e-06,0.0111073
1.766606e-06,0.0111073
1.767006e-06,0.0111073
1.767406e-06,0.0111073
1.767806e-06,0.0087544
1.768206e-06,0.0087544
1.768606e-06,0.0134602
1.769006e-06,0.0181659
1.769406e-06,0.0181659
1.769806e-06,0.015813
1.770206e-06,0.015813
1.770606e-06,0.0134602
1.771006e-06,0.0111073
1.771406e-06,0.0111073
1.771806e-06,0.0111073
1.772206e-06,0.0134602
1.772606e-06,0.015813
1.773006e-06,0.015813
1.773406e-06,0.0134602
1.773806e-06,0.0111073
1.774206e-06,0.0134602
1.774606e-06,0.0181659
1.775006e-06,0.0134602
1.775406e-06,0.0087544
1.775806e-06,0.00640152
1.776206e-06,0.0087544
1.776606e-06,0.0111073
1.777006e-06,0.0111073
1.777406e-06,0.0087544
1.777806e-06,0.0087544
1.778206e-06,0.0111073
1.778606e-06,0.0111073
1.779006e-06,0.0087544
1.779406e-06,0.00640152
1.779806e-06,0.0087544
1.780206e-06,0.0087544
1.780606e-06,0.00640152
1.781006e-06,0.00640152
1.781406e-06,0.0087544
1.781806e-06,0.00640152
1.782206e-06,0.0087544
1.782606e-06,0.0111073
1.783006e-06,0.0134602
1.783406e-06,0.015813
